date,cases,recovered,deaths,hospitalized,icu
2020-03-01,1,,,1,
2020-03-02,3,,,2,
2020-03-03,6,,,4,
2020-03-04,12,,,,
2020-03-06,19,,,4,
2020-03-07,28,,,,
2020-03-08,48,,,,
2020-03-10,58,,,4,
2020-03-11,118,,,5,
2020-03-13,158,,,8,
2020-03-14,263,,,15,
2020-03-15,283,,,16,
2020-03-16,332,,,20,3
2020-03-17,383,,,21,4
2020-03-18,519,,,28,9
2020-03-19,688,,,43,15
2020-03-20,868,,1,44,18
2020-03-21,1025,,1,39,14
2020-03-22,1071,,1,41,20
2020-03-23,1219,,2,47,22
2020-03-24,1425,,3,112,26
2020-03-25,1645,,4,208,38
2020-03-26,1937,,8,235,46
2020-03-27,2152,645,8,261,53
2020-03-28,2337,765,9,300,64
2020-03-29,2462,845,11,312,70
2020-03-30,2581,1055,13,381,84
2020-03-31,2777,1191,15,380,92
2020-04-01,2993,1369,17,479,104
2020-04-02,3223,1564,20,458,116
2020-04-03,3486,1720,22,473,124
2020-04-04,3626,1857,24,502,127
2020-04-05,3687,1938,26,507,126
2020-04-06,3862,2097,28,527,133
2020-04-07,4038,2233,32,505,118
2020-04-08,4212,2341,37,546,126
2020-04-09,4357,2481,42,559,136
2020-04-10,4446,2569,46,615,143
2020-04-11,4553,2635,50,601,139
2020-04-12,4583,2787,51,566,133
2020-04-13,4667,2778,56,568,141
2020-04-14,4736,2864,62,582,137
2020-04-15,4870,3335,74,599,128
2020-04-16,4971,3480,84,602,142
2020-04-17,5091,3641,91,585,146
2020-04-18,5187,3757,92,592,153
2020-04-19,5225,4015,94,567,156
2020-04-20,5265,3933,97,567,156
2020-04-21,5341,4044,105,596,164
2020-04-22,5355,,,,
2020-04-23,5476,,112,565,152
2020-04-24,5532,4412,113,523,154
2020-04-25,5607,4508,123,524,156
2020-04-26,5644,4587,125,546,160
2020-04-27,5677,4652,127,542,152
2020-04-28,5738,4730,137,540,158
2020-04-29,5821,4837,147,604,157
2020-04-30,5881,4897,149,566,162
2020-05-01,5936,4978,152,527,160
2020-05-02,5970,5040,154,541,159
2020-05-03,6004,5091,154,511,152
2020-05-04,6036,5154,154,484,145
2020-05-05,6086,5218,159,476,144
2020-05-06,6143,5296,162,495,141
2020-05-07,6203,5364,163,508,152
2020-05-08,6236,5431,164,467,150
2020-05-09,6256,5477,165,469,142
2020-05-10,6267,5518,165,486,151
2020-05-11,6269,5586,165,447,135
2020-05-12,6294,5641,170,412,131
2020-05-13,6338,5687,173,352,123
2020-05-14,6393,5737,177,282,103
2020-05-15,6424,5787,181,259,93
2020-05-16,6443,5825,181,231,92
2020-05-17,6454,5850,180,229,87
2020-05-18,6474,5880,182,211,71
2020-05-19,6503,5918,186,194,67
2020-05-20,6552,5959,186,185,66
2020-05-21,6582,5987,190,172,62
2020-05-22,6611,6018,190,167,59
2020-05-23,6636,6049,191,166,58
2020-05-24,6641,6060,191,177,60
2020-05-25,6651,6086,191,177,60
2020-05-26,6672,6123,193,164,58
2020-05-27,6702,6175,195,171,56
2020-05-28,6737,6208,196,146,47
2020-05-29,6766,6240,197,148,40
2020-05-30,6799,6259,198,150,43
2020-05-31,6815,6279,198,144,41
2020-06-01,6838,6319,198,138,40
2020-06-02,6873,6358,198,130,42
2020-06-03,6900,6388,200,117,43
2020-06-04,6945,6412,200,123,46
2020-06-05,6963,6443,201,139,45
2020-06-06,6996,6455,205,132,47
2020-06-07,7015,6470,205,129,42
2020-06-08,7041,6495,205,135,44
2020-06-09,7081,6531,206,132,42
2020-06-10,7135,6559,208,127,41
2020-06-11,7164,6582,208,124,42
2020-06-12,7251,6609,208,126,42
2020-06-13,7281,6627,208,126,42
2020-06-14,7321,6656,208,130,42
2020-06-15,7368,6685,208,136,43
2020-06-16,7401,6725,209,141,42
2020-06-17,7474,6778,210,151,46
2020-06-18,7602,6806,211,138,45
2020-06-19,7732,6850,211,142,45
2020-06-20,7803,6874,211,140,42
2020-06-21,7832,6886,211,146,42
2020-06-22,7915,6920,211,146,
2020-06-23,7974,6961,211,130,39
2020-06-24,8020,7032,212,120,35
